product_id,product_name,brand_name,avg_ratings,review_count,price,consumer_price,discount_rate,capacity,primary_attr,sub_attrs,topics_positive,topics_negative,sub_product_name,ingredient_count,ingredient_id,korean,english,ewg,ewg_data_availability_text,is_allergy,skin_type,skin_remark_good,skin_remark_bad,purpose,purposes,limitation,forbidden,concentration_info,category
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,4099,아크릴레이트/에틸헥실아크릴레이트코폴리머,"Acrylates/ Ethylhexyl Acrylate Copolymer, Acrylates/Ethylhexyl Acrylate Copolymer",1_2,데이터 등급: 적음(Limited),False,,,,피막형성제,[],해당 없음,해당 없음,,선케어 기타
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,2,"1,2-헥산다이올","1,2-Hexanediol",1,데이터 등급: 적음(Limited),False,,,,용제,[],해당 없음,해당 없음,,선케어 기타
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,459,글리세린,"Glycerin, Glycerol",1_2,데이터 등급: 적당함(Fair),False,gd,보습력 증가,,"변성제, 피부보호제, 착향제, 헤어컨디셔닝제, 피부컨디셔닝제(보습제), 점도감소제, 보습제","[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}, {'group_code': 'IPGC_03', 'group_name': '피부 보호'}]",해당 없음,해당 없음,,선케어 기타
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,4787,올리고펩타이드-68,Oligopeptide-68,,해당 없음,False,,,,,[],해당 없음,해당 없음,,선케어 기타
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,626,노나펩타이드-1,Nonapeptide-1,1,데이터 등급: 적음(Limited),False,,,,피부컨디셔닝제(기타),"[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,선케어 기타
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,5598,카퍼트라이펩타이드-1,Copper Tripeptide-1,1,데이터 등급: 적음(Limited),False,,,,피부컨디셔닝제(기타),"[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,선케어 기타
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,3993,아세틸헥사펩타이드-8,Acetyl Hexapeptide-8,1_2,데이터 등급: 적음(Limited),False,,,,피부컨디셔닝제(보습제),"[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,선케어 기타
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,443,글루타티온,Glutathione,1,데이터 등급: 적당함(Fair),False,,,,"환원제, 착향제",[],해당 없음,해당 없음,,선케어 기타
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,170,갈락토미세스발효여과물,Galactomyces Ferment Filtrate,1,데이터 등급: 적음(Limited),False,,,,피부컨디셔닝제(보습제),"[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,선케어 기타
55392,네이키드 선쉴드 펩타이드 패치,프란츠,4.17,299,19800,33000,40,"(9.4mg, 1ml)*5회분",진정,,"밀착잘되는, 수분있는, 자극없는, 트러블안생기는, 자연스러운, 편안해지는, 쫀득한","보습안되는, 밀림있는, 답답한, 알러지반응오는, 흘러내리는, 때처럼나오는, 잘굳는",펩타이드 패치,15,2532,검은뽕나무열매추출물,Morus Nigra Fruit Extract,1,데이터 등급: 적당함(Fair),False,,,,피부컨디셔닝제(기타),"[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,선케어 기타
