product_id,product_name,brand_name,avg_ratings,review_count,price,consumer_price,discount_rate,capacity,primary_attr,sub_attrs,topics_positive,topics_negative,sub_product_name,ingredient_count,ingredient_id,korean,english,ewg,ewg_data_availability_text,is_allergy,skin_type,skin_remark_good,skin_remark_bad,purpose,purposes,limitation,forbidden,concentration_info,category
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,5321,정제수,"Water, Aqua, Distilled Water, Purified Water",1,데이터 등급: 매우 많음(Robust),False,,,,"용제, 피부컨디셔닝제","[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,시트마스크
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,2454,부틸렌글라이콜,"Butylene Glycol, 1,3-Butylene Glycol",1,데이터 등급: 적당함(Fair),False,gd,강력 보습,,"용제, 피부컨디셔닝제, 점도감소제, 착향제","[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,시트마스크
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,459,글리세린,"Glycerin, Glycerol",1_2,데이터 등급: 적당함(Fair),False,gd,보습력 증가,,"변성제, 피부보호제, 착향제, 헤어컨디셔닝제, 피부컨디셔닝제(보습제), 점도감소제, 보습제","[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}, {'group_code': 'IPGC_03', 'group_name': '피부 보호'}]",해당 없음,해당 없음,,시트마스크
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,1242,다이프로필렌글라이콜,Dipropylene Glycol,1_3,데이터 등급: 적음(Limited),False,,,,"용제, 피부컨디셔닝제, 점도감소제, 착향제","[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,시트마스크
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,3387,소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,1,데이터 등급: 거의 없음(None),False,,,,"피부컨디셔닝제, 피부컨디셔닝제(보습제)","[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,시트마스크
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,3385,소듐하이알루로네이트,Sodium Hyaluronate,1,데이터 등급: 적당함(Fair),False,gd,강력 보습,,피부컨디셔닝제,"[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,시트마스크
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,3257,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,1,데이터 등급: 거의 없음(None),False,,,,보습제,"[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,시트마스크
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,7870,하이드롤라이즈드소듐하이알루로네이트,Hydrolyzed Sodium Hyaluronate,1,데이터 등급: 거의 없음(None),False,,,,피부컨디셔닝제(기타),"[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,시트마스크
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,7949,하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,1,데이터 등급: 적음(Limited),False,,,,"피부컨디셔닝제(보습제), 헤어컨디셔닝제","[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,시트마스크
76487,다이브인 저분자 히알루론산 마스크,토리든,4.76,16813,40900,96000,57,다이브인 저분자 히알루론산 마스크 30매+다이브인 세럼 10ml+셀메이징 모공 탄력 마스크 2매,수분,보습,"자극없는, 보습잘되는, 에센스양많은, 흡수잘되는, 끈적하지않은, 트러블안생기는, 속건조에효과있는","흘러내리는, 알러지반응오는, 잘굳는, 미끌거리는, 인공향나는, 가려운, 겉도는",다이브인 저분자 히알루론산 마스크팩,33,6380,판테놀,"Panthenol, D Panthenol",1,데이터 등급: 적음(Limited),False,gd,컨디셔닝,,"용제, 피부컨디셔닝제(보습제), 헤어컨디셔닝제","[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,시트마스크
