product_id,product_name,brand_name,avg_ratings,review_count,price,consumer_price,discount_rate,capacity,primary_attr,sub_attrs,topics_positive,topics_negative,sub_product_name,ingredient_count,ingredient_id,korean,english,ewg,ewg_data_availability_text,is_allergy,skin_type,skin_remark_good,skin_remark_bad,purpose,purposes,limitation,forbidden,concentration_info,category
15743,터핀아크™ 스팟패치,닥터오라클,4.55,1159,12900,20000,35,12mm/60매+10mm/32매,,,"트러블없어지는, 진정되는, 밀착잘되는, 오래사용하는, 흡수잘되는, 피지없어지는, 보습잘되는","끈적한, 트러블생기는, 자극있는, 잔여물남는, 밀림있는, 알러지반응오는, 유분있는",단일제품,8,3575,스타이렌/아이소프렌코폴리머,Styrene/Isoprene Copolymer,1,데이터 등급: 적음(Limited),False,,,,피막형성제,[],해당 없음,해당 없음,,패치
15743,터핀아크™ 스팟패치,닥터오라클,4.55,1159,12900,20000,35,12mm/60매+10mm/32매,,,"트러블없어지는, 진정되는, 밀착잘되는, 오래사용하는, 흡수잘되는, 피지없어지는, 보습잘되는","끈적한, 트러블생기는, 자극있는, 잔여물남는, 밀림있는, 알러지반응오는, 유분있는",단일제품,8,7627,하이드로제네이티드폴리(C6-20올레핀),"Hydrogenated Poly(C6-20 Olefin), Hydrogenated C6-20 Polyolefin",1,데이터 등급: 적음(Limited),False,,,,,[],해당 없음,해당 없음,,패치
15743,터핀아크™ 스팟패치,닥터오라클,4.55,1159,12900,20000,35,12mm/60매+10mm/32매,,,"트러블없어지는, 진정되는, 밀착잘되는, 오래사용하는, 흡수잘되는, 피지없어지는, 보습잘되는","끈적한, 트러블생기는, 자극있는, 잔여물남는, 밀림있는, 알러지반응오는, 유분있는",단일제품,8,3094,셀룰로오스검,Cellulose Gum,1,데이터 등급: 적당함(Fair),False,,,,"착향제, 결합제, 유화안정제, 피막형성제, 점도증가제(수성)",[],해당 없음,해당 없음,,패치
15743,터핀아크™ 스팟패치,닥터오라클,4.55,1159,12900,20000,35,12mm/60매+10mm/32매,,,"트러블없어지는, 진정되는, 밀착잘되는, 오래사용하는, 흡수잘되는, 피지없어지는, 보습잘되는","끈적한, 트러블생기는, 자극있는, 잔여물남는, 밀림있는, 알러지반응오는, 유분있는",단일제품,8,2092,미네랄오일,"Mineral Oil, Paraffinum Liquidum",3,데이터 등급: 적당함(Fair),False,,,,"피부보호제, 착향제, 헤어컨디셔닝제, 피부컨디셔닝제(유연제), 용제, 피부컨디셔닝제(수분차단제)","[{'group_code': 'IPGC_03', 'group_name': '피부 보호'}, {'group_code': 'IPGC_02', 'group_name': '수분 증발 차단'}]",해당 없음,해당 없음,,패치
15743,터핀아크™ 스팟패치,닥터오라클,4.55,1159,12900,20000,35,12mm/60매+10mm/32매,,,"트러블없어지는, 진정되는, 밀착잘되는, 오래사용하는, 흡수잘되는, 피지없어지는, 보습잘되는","끈적한, 트러블생기는, 자극있는, 잔여물남는, 밀림있는, 알러지반응오는, 유분있는",단일제품,8,6349,파라핀,Paraffin,1,데이터 등급: 적음(Limited),False,,,,"수분증발차단제, 점도증가제(비수용성), 향료","[{'group_code': 'IPGC_02', 'group_name': '수분 증발 차단'}]",해당 없음,해당 없음,,패치
15743,터핀아크™ 스팟패치,닥터오라클,4.55,1159,12900,20000,35,12mm/60매+10mm/32매,,,"트러블없어지는, 진정되는, 밀착잘되는, 오래사용하는, 흡수잘되는, 피지없어지는, 보습잘되는","끈적한, 트러블생기는, 자극있는, 잔여물남는, 밀림있는, 알러지반응오는, 유분있는",단일제품,8,6667,폴록사머407,Poloxamer 407,2,데이터 등급: 적당함(Fair),False,,,,"계면활성제(유화제), 계면활성제(용해보조제)",[],해당 없음,해당 없음,,패치
15743,터핀아크™ 스팟패치,닥터오라클,4.55,1159,12900,20000,35,12mm/60매+10mm/32매,,,"트러블없어지는, 진정되는, 밀착잘되는, 오래사용하는, 흡수잘되는, 피지없어지는, 보습잘되는","끈적한, 트러블생기는, 자극있는, 잔여물남는, 밀림있는, 알러지반응오는, 유분있는",단일제품,8,6336,티트리잎오일,Melaleuca Alternifolia (Tea Tree) Leaf Oil,4_6,데이터 등급: 적당함(Fair),False,bs,,아로마오일 공통 - 피부 자극,"산화방지제, 향료",[],해당 없음,해당 없음,,패치
15743,터핀아크™ 스팟패치,닥터오라클,4.55,1159,12900,20000,35,12mm/60매+10mm/32매,,,"트러블없어지는, 진정되는, 밀착잘되는, 오래사용하는, 흡수잘되는, 피지없어지는, 보습잘되는","끈적한, 트러블생기는, 자극있는, 잔여물남는, 밀림있는, 알러지반응오는, 유분있는",단일제품,8,1686,d-리모넨,"d-Limonene, dl-Limonene, Limonene",4_5,데이터 등급: 충분함(Good),True,,,,"착향제, 용제",[],해당 없음,금지 (과산화물가가 20mmol/L을 초과하는 d-리모넨;과산화물가가 20mmol/L을 초과하는 ㎗-리모넨;과산화물가가 20mmol/L을 초과하는 ℓ-리모넨),,패치
49259,레티놀 시카 앰플 포커싱 패치,이니스프리,3.8,101,10200,12000,15,1ea/9 patches,,,"트러블없어지는, 진정되는, 자극없는, 밀착잘되는","흡수안되는, 따가운, 피지안없어지는, 보습안되는, 트러블생기는",단일제품,23,6143,트레할로오스,Trehalose,1,데이터 등급: 적당함(Fair),False,,,,"보습제, 감미제","[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,패치
49259,레티놀 시카 앰플 포커싱 패치,이니스프리,3.8,101,10200,12000,15,1ea/9 patches,,,"트러블없어지는, 진정되는, 자극없는, 밀착잘되는","흡수안되는, 따가운, 피지안없어지는, 보습안되는, 트러블생기는",단일제품,23,3385,소듐하이알루로네이트,Sodium Hyaluronate,1,데이터 등급: 적당함(Fair),False,gd,강력 보습,,피부컨디셔닝제,"[{'group_code': 'IPGC_01', 'group_name': '피부 보습'}]",해당 없음,해당 없음,,패치
