한글명,영문명,등급,효과별,분류,성분설명,연관성분,참고논문
(아몬드/보리지/아마/올리브)애씨드/글리세라이즈,Almond/Borage/Linseed/Olive Acids/Glycerides*,훌륭함,"수분 공급, 안티에이징","유연제(연화제), 항산화제","아몬드, 보리지, 아마, 올리브 등 무향의 식물성 오일에서 비롯된 트라이글리세라이드와 지방산의 혼합물. 이 혼합물은 피부에 수분을 공급하고 보충하며 항산화 효과를 제공하고 피부 본연의 회복력을 향상할 수 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","아몬드오일, 보리지씨오일","American Journal of Clinical Dermatology, February 2018, pages 103-117
International Journal of Molecular Sciences, December 2017, ePublication
Journal of Cosmetic Dermatology, December 2016, pages 549-558"
10-하이드록시데카노익애씨드,10-Hydroxydecanoic Acid*,훌륭함,"수분 공급, 안티에이징, 모공 크기 개선, 진정","유연제(연화제), 수분증발차단제-불투명화제","10-하이드록시데카노익애씨드는 벌집에서 일벌이 여왕벌과 애벌레에게 먹이를 주기 위해 생산하는 영양 물질인 로열젤리에서 추출할 수 있는 중간 사슬 지방산이다. 로열젤리 자체는 고대부터 약용으로 사용되어 왔지만, 10-하이드록시데카노익애씨드의 효능에 대한 구체적인 연구는 비교적 최근에 이루어졌다.
지방산인 10-하이드록시데카노익애씨드는 피부 컨디셔닝 특성을 가지지만, 연구자들은 이 성분이 강력한 항염 효과도 발휘한다는 것을 발견했다. 또한 항균 작용과 상처 치유 능력도 있다는 증거도 있다.
특히 흥미로운 점은 10-하이드록시데카노익애씨드가 각질화 과정을 정상화하는 데 도움을 준다는 연구 결과인데, 각질화는 피부 세포가 표피를 거쳐 피부 표면으로 이동하는 과정이다. 과각질화(Hyperkeratinization)은 모공 막힘을 유발할 수 있으며 여드름 발생의 주요 원인 중 하나이다. 이 성분은 살리실릭애씨드와 시너지 효과를 발휘하여 폐쇄성 면포를 제거하는 데 도움을 준다.
Cosmetic Ingredient Review는 10-하이드록시데카노익애씨드가 화장품에 사용하기에 안전하다고 판정했으며, 최근 보고서에 따르면 사용량은 0.0084%~0.1% 범위였다.
참고: 이 성분과 동일한 생체합성 버전이 화장품에 사용 가능하지만, 일부 브랜드는 벌에서 유래한 버전을 사용할 수도 있으며 이는 비건으로 간주되지 않는다. Paula’s Choice Skincare는 합성 버전을 사용한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","로얄젤리, 지방산","Cosmetic Ingredient Review, Website, Accessed December 2025
Journal of Functional Foods, November 2025, pages 1=17 and November 2024, pages 1-13
Gels, October 2025, pages 1-19
Molecules, June 2025, pages 1-13"
3-O-에틸아스코빅애씨드,3-O-Ethyl Ascorbic Acid*,훌륭함,"안티에이징, 피부 톤 개선, 다크스팟 개선",항산화제,"3-O-에틸아스코빅애씨드 순수한 비타민 C (아스코빅애씨드)의 유도체로 안정적이며 물과 기름에 모두 용해되는 특성이 있다. 미백, 주름 감소, 눈에 띄는 탄력 개선(건강한 콜라겐 생성을 지원함으로써), 색소침착 완화 같은 비타민 C의 모든 주요 이점을 제공한다. 또한 균일한 피부 톤을 되찾고 외부 환경으로 인한 피부 손상을 줄이는 데 도움을 준다.
3-O-에틸아스코빅애씨드는 순수 비타민 C(아스코빅애씨드, Ascorbic Acid)를 변형하여 보다 안정성을 높인 유도체로, 피부 내에서 나트륨 의존성 단백질에 의해 비타민 C로 전환된다. 표피층에서 이루어지는 이 전환 과정은 천천히 진행되며 피부에 긍정적인 효과를 준다.
3-O-에틸아스코빅애씨드는 순수 비타민 C로 전환되는 과정이 느리기 때문에 피부에 자극이 덜한 저자극 비타민 C 형태로 알려져 있다. 순수 비타민 C와 마찬가지로, 에틸 형태의 비타민 C(3-O-에틸아스코빅애씨드)는 최적의 안정성을 위해 pH 4.0~5.5 범위의 산성 환경이 필요하다. 이 pH 범위는 아스코빅애씨드가 이상적인 안정성을 유지하는 데 필요한 pH보다 높다. 따라서, 피부가 10% 이상의 고농도 비타민 C(아스코빅애씨드) 제품을 견디기 어려운 경우, 3-O-에틸아스코빅애씨드는 효과적인 대안이 될 수 있다.
연구에 따르면 이 성분이 피부 표면으로 침투하는데 도움이 되는 비자극성 성분에는 펜틸렌글라이콜, 글리세린, 1,2-헥산다이올, 다이아이소스테아릴말레이트 및 다양한 프로필렌 글리콜 유도체 등이 있다.
스킨케어 제품에서 3-O-에틸아스코빅애씨드의 일반적인 사용 수준은 0.5-5% 사이이며, 안정적이기 때문에 순수 비타민 C보다 적은 양이 요구된다. 원하는 효능에 따라 5% 이상의 함량도 사용할 수 있다. 최대 30%의 양은 인체 피부 샘플에서 자극이 없는 것으로 나타났다.
이 성분은 에틸아스코빅애씨드라고도 불린다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","아스코빅애씨드, 비타민 C","Free Radical Biology and Medicine, September 2021, pages 151–169
Life, May 2021, pages 1–13
International Journal of Pharmaceutics, December 2019, pages 1–9
Journal of Cosmetic Science, July-August 2018, pages 233–243
AAPS PharmSciTech, June 2016, pages 767–777"
C10-30콜레스테롤/라노스테롤에스터,C10-30 Cholesterol/Lanosterol Esters*,훌륭함,수분 공급,"유연제(연화제), 질감향상제","라놀린과 콜레스테롤에서 유래된 지방산의 복합 혼합물이며, 피부 상태를 조절하고 화장품의 점도를 증점시킨다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Journal of Clinical and Aesthetic Dermatology, Supplement April 2016, pages S2-S8
Soft Matter, June 2015, pages 4,326-4,336
Chemical Reviews, September 2011, pages 6,423-6,451
Biochimica et Biophysica Acta, October 2008, pages 2,350-2,360"
C13-16아이소알케인,C13-16 Isoalkane*,훌륭함,,,"C13-16아이소알케인은 식물에서 추출할 수 있는 합성 용제이다. (폴라초이스는 식물에서 추출한 성분을 사용하며, 야자 유래 성분은 사용하지 않는다.) 단독으로 사용할 수 있지만, 실록세인 타입의 실리콘의 매끄러운 감촉을 대체하기 위한 혼합물에 더 자주 사용한다. 다른 이점으로는 화장품 제형의 점도를 줄이는 데 도움이 될 뿐만 아니라 답답한 느낌을 남기지 않고 발림성을 개선하는데 도움을 준다.
이 성분은 이전에 C13-16아이소파라핀으로 알려졌으며, 2012년에 수행된 안정성 평가에서 일반적인 사용량인 0.4-18%의 배합수준에서 안전하다고 확인했다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",C13-14아이소알케인,"International Journal of Toxicology, November-December 2021, Supplement 6, pages 269S–296S"
D-알파-토코페롤,D-Alpha-Tocopherol,훌륭함,"안티에이징, 피부 톤 개선",항산화제,D-알파-토코페롤은 비타민 E 중 가장 효과적인 형태로 간주되는 항산화제이다.,"토코페롤, 비타민 E, 알파-토코페롤",
D-판테놀,D-Panthenol,훌륭함,"수분 공급, 진정",보습제(습윤제),D-판테놀은 보습과 진정 효과가 있는 프로-비타민(pro-vitamin) B5(판테놀)의 형태이다. 이 성분에 대한 자세한 내용은 “판테놀”을 참조하세요.,판테놀,
Ester-C,Ester-C,훌륭함,안티에이징,항산화제,"Ester-C는 상품명이며 주로 칼슘아스코베이트를 포함한 비타민 C 형태의 조합으로 구성되지만, 비타민 C 대사물인 디하이드로아스코빅애씨드(산화된 아스코빅애씨드), 칼슘트레오네이트 및 미량의 자일로네이트와 릭소네이트 또한 소량 포함한다. 이 성분의 제조업체는 대사산물, 특히 트레오네이트가 제품의 비타민 C 효과를 증진시킨다고 주장하지만 이 연구는 상호 심사를 받는 학술지에 등재되지 않았다. 에스터-C가 아스코빅애씨드보다 강력하다는 개념을 뒷받침하는 소규모의 시험관 내(체외) 연구가 존재한다.",,"Medical Science Monitor, October 2007, pages 205-210"
L-아스코빅애씨드,L-Ascorbic Acid,훌륭함,"안티에이징, 다크스팟 개선, 피부 톤 개선","항산화제, pH 조절제","비타민 C의 한 형태이다. 강력한 항산화제이자 피부 진정제로 노화의 징후를 개선하고 고르지 못한 피부 톤을 밝게 하는데 도움을 준다. International Nomenclature of Cosmetic Ingredients(INCI) 정보를 준수하여 L-아스코빅애씨드를 “아스코빅애씨드”로 표기되는 경우가 많지만, 두 성분에는 차이가 없으며 동일한 성분을 나타낸다.","아스코빅애씨드, 비타민 C","Indian Dermatology Online Journal, 2013, issue 2, pages 143-146
Dermatological Surgery, 2005, issue 7 part 2, pages 814-818
Dermatological Surgery, 2001, issue 2, pages 137-142"
N-하이드록시석신이미드,N-Hydroxysuccinimide*,훌륭함,수분 공급,보습제(습윤제),"N-하이드록시석신이미드는 피부를 부드럽게 하고 컨디셔닝하는 에스터로 코스메틱 제품에 사용되는 합성 성분이다. 또한 펩타이드 및 폴리머와 같은 새로운 물질을 생하는 반응을 유발하는 데 사용되는 시약이기도 하다. 펩타이드를 포함하는 글리세린 기반 혼합물에서 가장 많이 발견된다. 이러한 혼합물의 대한 권장 범위는 일반적으로 2–5%다.
원료 형태는 흰색 고체다. N-하이드록시석신이미드에서 발견된 안전성 문제는 없다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Journal of the American Chemical Society, August 2018, pages 9,374-9,378
Journal of Biomedical Materials Research, July 2009, pages 70-81
Bioconjugate Chemistry, November-December 2001, pages 1,085-1,088"
